BadBuy,VehicleAge,Color,Transmission,Mileage,Country,AveragePrice,CleanPrice,RetailAveragePrice,AuctionPrice,WarrantyCost
0,3,RED,AUTO,89046,OTHER ASIAN,8155,9829,11636,7100,1113
0,5,WHITE,AUTO,93593,AMERICAN,6854,8383,10897,7600,1053
0,4,MAROON,AUTO,73807,AMERICAN,3202,4760,6943,4900,1389
0,5,SILVER,AUTO,65617,AMERICAN,1893,2675,4658,4100,630
0,4,SILVER,MANUAL,69367,AMERICAN,3913,5054,7723,4000,1020
0,5,WHITE,AUTO,81054,OTHER ASIAN,3901,4908,6706,5600,594
0,5,BLACK,AUTO,65328,OTHER ASIAN,2966,4038,6240,4200,533
0,4,WHITE,AUTO,65805,AMERICAN,3313,4342,6667,4500,825
0,2,BLACK,AUTO,49921,OTHER ASIAN,6196,7274,9687,5600,482
0,2,RED,AUTO,84872,AMERICAN,7845,9752,11734,7700,1633
0,4,SILVER,AUTO,80080,AMERICAN,5243,6627,8848,5500,1373
0,8,WHITE,MANUAL,75419,AMERICAN,3168,4320,5826,5300,869
1,4,RED,AUTO,79315,AMERICAN,4225,5380,7910,5400,1623
0,4,WHITE,AUTO,71254,TOP LINE ASIAN,5684,6921,8976,7800,686
0,3,GOLD,AUTO,74722,AMERICAN,6999,9730,10743,6900,1623
0,6,WHITE,MANUAL,72132,AMERICAN,2228,3217,5256,3300,1455
0,4,WHITE,AUTO,80736,AMERICAN,6742,7951,11068,6800,1243
0,6,RED,AUTO,75156,AMERICAN,2756,3475,5835,4900,1923
0,4,GREY,AUTO,65925,AMERICAN,3983,5244,7316,5700,1703
0,5,BLACK,AUTO,84498,AMERICAN,7347,8845,11092,7100,1243
0,7,BLUE,AUTO,54586,AMERICAN,2139,3106,5072,4800,1551
0,7,WHITE,AUTO,66536,AMERICAN,3522,4791,7689,5800,2003
0,5,SILVER,AUTO,98130,AMERICAN,2290,3818,5646,4100,5613
0,3,GREY,AUTO,59789,AMERICAN,5693,6842,9586,7700,671
0,2,GREY,AUTO,65663,AMERICAN,5830,6923,9644,7000,728
1,5,WHITE,AUTO,52106,AMERICAN,2619,3561,6502,4500,754
0,7,GOLD,AUTO,88958,AMERICAN,5367,6517,9005,8000,2452
0,5,WHITE,AUTO,76173,AMERICAN,6407,8051,10378,8800,920
0,5,RED,AUTO,65393,AMERICAN,7243,8582,11805,8400,1411
0,4,GREY,AUTO,80064,AMERICAN,5439,7255,9587,5600,1763
0,6,GOLD,AUTO,77694,AMERICAN,7220,8598,11181,8300,1923
1,7,BLUE,AUTO,56300,AMERICAN,2989,3939,5731,4900,1220
0,3,BLACK,AUTO,78241,AMERICAN,8864,10403,13575,9500,1389
0,5,BLACK,MANUAL,57723,AMERICAN,4335,5331,8448,7000,671
0,4,BLACK,AUTO,78434,AMERICAN,10272,12753,15509,10700,1272
1,8,GOLD,AUTO,82944,AMERICAN,1805,2423,4318,3600,2322
0,4,GOLD,AUTO,76304,AMERICAN,4649,5156,8487,6100,1506
0,6,GOLD,AUTO,55711,OTHER ASIAN,2742,3724,5794,5100,971
0,5,SILVER,AUTO,76586,AMERICAN,7482,8662,11915,8200,1389
1,5,GOLD,AUTO,65078,AMERICAN,7669,8897,11047,8500,728
0,3,MAROON,AUTO,65403,AMERICAN,7149,8656,11086,6700,825
1,5,SILVER,AUTO,86889,TOP LINE ASIAN,4522,5544,8115,5200,594
0,6,SILVER,AUTO,68990,AMERICAN,6109,7449,9669,8500,1215
0,2,GREY,AUTO,80949,AMERICAN,7868,9037,11742,7900,2152
0,6,BLUE,AUTO,52774,AMERICAN,6451,8015,10954,11335,754
1,6,BLUE,AUTO,72191,TOP LINE ASIAN,7033,8356,10916,7100,569
0,7,SILVER,AUTO,59858,AMERICAN,2599,3444,5894,4600,1220
1,8,SILVER,AUTO,79576,TOP LINE ASIAN,2492,3290,5516,3900,869
1,6,WHITE,AUTO,73291,AMERICAN,3443,4322,7636,4100,1155
1,4,RED,AUTO,50227,AMERICAN,6630,7933,10660,7500,1003
0,7,BEIGE,AUTO,82146,AMERICAN,6529,8087,11855,9400,1283
0,4,GREY,MANUAL,58024,AMERICAN,4918,6168,8421,5600,671
0,4,GOLD,AUTO,40919,AMERICAN,5456,6832,9488,7700,623
0,5,SILVER,AUTO,87643,AMERICAN,2755,3566,6142,4600,723
0,5,WHITE,MANUAL,80968,AMERICAN,3224,4345,6716,4600,1243
0,4,SILVER,AUTO,50308,AMERICAN,8219,9414,12742,9635,1086
0,3,BLACK,AUTO,80795,AMERICAN,8806,10982,12674,7700,1633
0,4,RED,AUTO,62239,AMERICAN,10883,12166,15586,9135,1215
1,6,GOLD,AUTO,87008,AMERICAN,5925,7204,9121,6900,1503
0,4,GOLD,AUTO,64060,OTHER ASIAN,6299,7569,10379,7535,728
0,8,BLUE,AUTO,77677,OTHER ASIAN,2136,3158,4773,4200,1103
0,7,GREY,AUTO,58888,AMERICAN,4064,5082,7662,6300,971
